,Number_of_var,F1_score
0.002,3,0.8169444444444445
0.003,5,0.8165277777777776
0.004,11,0.8188888888888888
0.005,13,0.8198611111111112
0.006,14,0.8169444444444445
0.007,14,0.8169444444444445
0.008,15,0.8163888888888889
0.009000000000000001,15,0.8163888888888889
0.01,15,0.8163888888888889
0.011000000000000001,15,0.8163888888888889
0.012,16,0.8181944444444444
0.013,16,0.8181944444444444
0.014,17,0.8225
0.015000000000000001,17,0.8225
0.016,17,0.8225
0.017,17,0.8225
0.018000000000000002,17,0.8225
0.019000000000000003,17,0.8225
0.020000000000000004,18,0.8227777777777779
0.020999999999999998,18,0.8227777777777779
0.022,19,0.8233333333333334
0.023,19,0.8233333333333334
0.024,19,0.8233333333333334
0.025,20,0.8234722222222223
0.026000000000000002,21,0.82375
0.027000000000000003,22,0.8236111111111111
0.028000000000000004,22,0.8236111111111111
0.028999999999999998,22,0.8236111111111111
0.03,22,0.8236111111111111
0.031,22,0.8236111111111111
0.032,22,0.8236111111111111
0.033,23,0.8233333333333334
0.034,23,0.8233333333333334
0.035,23,0.8233333333333334
0.036000000000000004,23,0.8233333333333334
0.037000000000000005,23,0.8233333333333334
0.038000000000000006,23,0.8233333333333334
0.039,23,0.8233333333333334
0.04,24,0.8236111111111111
0.041,24,0.8236111111111111
0.042,24,0.8236111111111111
0.043000000000000003,24,0.8236111111111111
0.044000000000000004,24,0.8236111111111111
0.045000000000000005,24,0.8236111111111111
0.046,25,0.8243055555555555
0.047,25,0.8243055555555555
0.048,25,0.8243055555555555
0.049,25,0.8243055555555555
0.05,25,0.8243055555555555
0.051000000000000004,25,0.8243055555555555
0.052000000000000005,26,0.8241666666666667
0.053000000000000005,26,0.8241666666666667
0.054000000000000006,26,0.8241666666666667
0.055,26,0.8241666666666667
0.056,27,0.8244444444444443
0.057,27,0.8244444444444443
0.058,27,0.8244444444444443
0.059000000000000004,27,0.8244444444444443
0.060000000000000005,27,0.8244444444444443
0.061000000000000006,27,0.8244444444444443
0.062,27,0.8244444444444443
0.063,27,0.8244444444444443
0.064,27,0.8244444444444443
0.065,29,0.8240277777777778
0.066,29,0.8240277777777778
0.067,30,0.8241666666666667
0.068,30,0.8241666666666667
0.069,30,0.8241666666666667
0.07,30,0.8241666666666667
0.07100000000000001,31,0.8244444444444443
0.07200000000000001,31,0.8244444444444443
0.07300000000000001,32,0.824861111111111
0.07400000000000001,32,0.824861111111111
0.075,32,0.824861111111111
0.076,32,0.824861111111111
0.077,32,0.824861111111111
0.078,32,0.824861111111111
0.079,32,0.824861111111111
0.08,32,0.824861111111111
0.081,32,0.824861111111111
0.082,32,0.824861111111111
0.083,32,0.824861111111111
0.084,33,0.8247222222222224
0.085,33,0.8247222222222224
0.08600000000000001,33,0.8247222222222224
0.08700000000000001,33,0.8247222222222224
0.08800000000000001,34,0.8252777777777778
0.08900000000000001,34,0.8252777777777778
0.09,34,0.8252777777777778
0.091,34,0.8252777777777778
0.092,34,0.8252777777777778
0.093,34,0.8252777777777778
0.094,34,0.8252777777777778
0.095,34,0.8252777777777778
0.096,34,0.8252777777777778
0.097,34,0.8252777777777778
0.098,34,0.8252777777777778
0.099,34,0.8252777777777778
0.1,35,0.824861111111111
0.101,35,0.824861111111111
0.10200000000000001,35,0.824861111111111
0.10300000000000001,36,0.8247222222222224
0.10400000000000001,36,0.8247222222222224
0.10500000000000001,36,0.8247222222222224
0.10600000000000001,36,0.8247222222222224
0.107,36,0.8247222222222224
0.108,36,0.8247222222222224
0.109,36,0.8247222222222224
0.11,36,0.8247222222222224
0.111,36,0.8247222222222224
0.112,36,0.8247222222222224
0.113,36,0.8247222222222224
0.114,36,0.8247222222222224
0.115,37,0.825
0.116,37,0.825
0.117,37,0.825
0.11800000000000001,37,0.825
0.11900000000000001,37,0.825
0.12000000000000001,37,0.825
0.12100000000000001,37,0.825
0.122,37,0.825
0.123,37,0.825
0.124,37,0.825
0.125,37,0.825
0.126,37,0.825
0.127,37,0.825
0.128,37,0.825
0.129,37,0.825
0.13,37,0.825
0.131,37,0.825
0.132,37,0.825
0.133,37,0.825
0.134,37,0.825
0.135,37,0.825
0.136,37,0.825
0.137,37,0.825
0.138,37,0.825
0.139,37,0.825
0.14,38,0.825
0.14100000000000001,38,0.825
0.14200000000000002,38,0.825
0.14300000000000002,38,0.825
0.14400000000000002,38,0.825
0.14500000000000002,38,0.825
0.14600000000000002,38,0.825
0.147,39,0.8254166666666667
0.148,39,0.8254166666666667
0.149,39,0.8254166666666667
0.15,39,0.8254166666666667
0.151,39,0.8254166666666667
0.152,39,0.8254166666666667
0.153,39,0.8254166666666667
0.154,39,0.8254166666666667
0.155,39,0.8254166666666667
0.156,39,0.8254166666666667
0.157,39,0.8254166666666667
0.158,39,0.8254166666666667
0.159,39,0.8254166666666667
0.16,39,0.8254166666666667
0.161,39,0.8254166666666667
0.162,39,0.8254166666666667
0.163,39,0.8254166666666667
0.164,40,0.8251388888888888
0.165,40,0.8251388888888888
0.166,40,0.8251388888888888
0.167,40,0.8251388888888888
0.168,41,0.8247222222222224
0.169,41,0.8247222222222224
0.17,41,0.8247222222222224
0.171,42,0.8244444444444443
0.17200000000000001,42,0.8244444444444443
0.17300000000000001,42,0.8244444444444443
0.17400000000000002,42,0.8244444444444443
0.17500000000000002,42,0.8244444444444443
0.17600000000000002,42,0.8244444444444443
0.17700000000000002,42,0.8244444444444443
0.178,42,0.8244444444444443
0.179,42,0.8244444444444443
0.18,42,0.8244444444444443
0.181,42,0.8244444444444443
0.182,42,0.8244444444444443
0.183,42,0.8244444444444443
0.184,42,0.8244444444444443
0.185,42,0.8244444444444443
0.186,42,0.8244444444444443
0.187,42,0.8244444444444443
0.188,42,0.8244444444444443
0.189,42,0.8244444444444443
0.19,42,0.8244444444444443
0.191,42,0.8244444444444443
0.192,42,0.8244444444444443
0.193,42,0.8244444444444443
0.194,42,0.8244444444444443
0.195,42,0.8244444444444443
0.196,42,0.8244444444444443
0.197,42,0.8244444444444443
0.198,42,0.8244444444444443
0.199,42,0.8244444444444443
0.2,42,0.8244444444444443
0.201,42,0.8244444444444443
0.202,42,0.8244444444444443
0.203,42,0.8244444444444443
0.20400000000000001,42,0.8244444444444443
0.20500000000000002,43,0.8247222222222224
0.20600000000000002,43,0.8247222222222224
0.20700000000000002,43,0.8247222222222224
0.20800000000000002,43,0.8247222222222224
0.20900000000000002,43,0.8247222222222224
0.21000000000000002,43,0.8247222222222224
0.211,43,0.8247222222222224
0.212,43,0.8247222222222224
0.213,44,0.824861111111111
0.214,44,0.824861111111111
0.215,44,0.824861111111111
0.216,44,0.824861111111111
0.217,44,0.824861111111111
0.218,44,0.824861111111111
0.219,44,0.824861111111111
0.22,44,0.824861111111111
0.221,44,0.824861111111111
0.222,44,0.824861111111111
0.223,44,0.824861111111111
0.224,44,0.824861111111111
0.225,44,0.824861111111111
0.226,44,0.824861111111111
0.227,44,0.824861111111111
0.228,44,0.824861111111111
0.229,44,0.824861111111111
0.23,44,0.824861111111111
0.231,44,0.824861111111111
0.232,44,0.824861111111111
0.233,44,0.824861111111111
0.234,44,0.824861111111111
0.23500000000000001,44,0.824861111111111
0.23600000000000002,44,0.824861111111111
0.23700000000000002,44,0.824861111111111
0.23800000000000002,44,0.824861111111111
0.23900000000000002,44,0.824861111111111
0.24000000000000002,44,0.824861111111111
0.24100000000000002,44,0.824861111111111
0.242,44,0.824861111111111
0.243,44,0.824861111111111
0.244,44,0.824861111111111
0.245,44,0.824861111111111
0.246,44,0.824861111111111
0.247,44,0.824861111111111
0.248,44,0.824861111111111
0.249,44,0.824861111111111
0.25,44,0.824861111111111
0.251,45,0.8245833333333333
0.252,45,0.8245833333333333
0.253,45,0.8245833333333333
0.254,45,0.8245833333333333
0.255,45,0.8245833333333333
0.256,45,0.8245833333333333
0.257,45,0.8245833333333333
0.258,45,0.8245833333333333
0.259,45,0.8245833333333333
0.26,45,0.8245833333333333
0.261,45,0.8245833333333333
0.262,45,0.8245833333333333
0.263,45,0.8245833333333333
0.264,45,0.8245833333333333
0.265,45,0.8245833333333333
0.266,45,0.8245833333333333
0.267,45,0.8245833333333333
0.268,45,0.8245833333333333
0.269,45,0.8245833333333333
0.27,45,0.8245833333333333
0.271,45,0.8245833333333333
0.272,45,0.8245833333333333
0.273,45,0.8245833333333333
0.274,45,0.8245833333333333
0.275,45,0.8245833333333333
0.276,45,0.8245833333333333
0.277,45,0.8245833333333333
0.278,45,0.8245833333333333
0.279,45,0.8245833333333333
0.28,45,0.8245833333333333
0.281,45,0.8245833333333333
0.28200000000000003,45,0.8245833333333333
0.28300000000000003,45,0.8245833333333333
0.28400000000000003,45,0.8245833333333333
0.28500000000000003,45,0.8245833333333333
0.28600000000000003,45,0.8245833333333333
0.28700000000000003,45,0.8245833333333333
0.28800000000000003,45,0.8245833333333333
0.28900000000000003,45,0.8245833333333333
0.29000000000000004,45,0.8245833333333333
0.291,45,0.8245833333333333
0.292,45,0.8245833333333333
0.293,45,0.8245833333333333
0.294,45,0.8245833333333333
0.295,45,0.8245833333333333
0.296,45,0.8245833333333333
0.297,45,0.8245833333333333
0.298,45,0.8245833333333333
0.299,45,0.8245833333333333
0.3,45,0.8245833333333333
0.301,45,0.8245833333333333
0.302,45,0.8245833333333333
0.303,45,0.8245833333333333
0.304,45,0.8245833333333333
0.305,45,0.8245833333333333
0.306,45,0.8245833333333333
0.307,45,0.8245833333333333
0.308,45,0.8245833333333333
0.309,45,0.8245833333333333
0.31,45,0.8245833333333333
0.311,45,0.8245833333333333
0.312,45,0.8245833333333333
0.313,45,0.8245833333333333
0.314,45,0.8245833333333333
0.315,45,0.8245833333333333
0.316,45,0.8245833333333333
0.317,45,0.8245833333333333
0.318,45,0.8245833333333333
0.319,45,0.8245833333333333
0.32,46,0.8247222222222224
0.321,45,0.8245833333333333
0.322,45,0.8245833333333333
0.323,46,0.8247222222222224
0.324,46,0.8247222222222224
0.325,46,0.8247222222222224
0.326,46,0.8247222222222224
0.327,46,0.8247222222222224
0.328,46,0.8247222222222224
0.329,46,0.8247222222222224
0.33,47,0.8244444444444443
0.331,47,0.8244444444444443
0.332,47,0.8244444444444443
0.333,47,0.8244444444444443
0.334,47,0.8244444444444443
0.335,47,0.8244444444444443
0.336,47,0.8244444444444443
0.337,47,0.8244444444444443
0.338,47,0.8244444444444443
0.339,47,0.8244444444444443
0.34,47,0.8244444444444443
0.341,47,0.8244444444444443
0.342,47,0.8244444444444443
0.343,47,0.8244444444444443
0.34400000000000003,47,0.8244444444444443
0.34500000000000003,47,0.8244444444444443
0.34600000000000003,47,0.8244444444444443
0.34700000000000003,47,0.8244444444444443
0.34800000000000003,47,0.8244444444444443
0.34900000000000003,47,0.8244444444444443
0.35000000000000003,47,0.8244444444444443
0.35100000000000003,47,0.8244444444444443
0.35200000000000004,47,0.8244444444444443
0.35300000000000004,47,0.8244444444444443
0.354,47,0.8244444444444443
0.355,47,0.8244444444444443
0.356,47,0.8244444444444443
0.357,47,0.8244444444444443
0.358,47,0.8244444444444443
0.359,47,0.8244444444444443
0.36,47,0.8244444444444443
0.361,47,0.8244444444444443
0.362,47,0.8244444444444443
0.363,47,0.8244444444444443
0.364,47,0.8244444444444443
0.365,47,0.8244444444444443
0.366,47,0.8244444444444443
0.367,47,0.8244444444444443
0.368,47,0.8244444444444443
0.369,47,0.8244444444444443
0.37,47,0.8244444444444443
0.371,47,0.8244444444444443
0.372,47,0.8244444444444443
0.373,47,0.8244444444444443
0.374,47,0.8244444444444443
0.375,47,0.8244444444444443
0.376,47,0.8244444444444443
0.377,47,0.8244444444444443
0.378,47,0.8244444444444443
0.379,47,0.8244444444444443
0.38,47,0.8244444444444443
0.381,47,0.8244444444444443
0.382,47,0.8244444444444443
0.383,47,0.8244444444444443
0.384,47,0.8244444444444443
0.385,47,0.8244444444444443
0.386,47,0.8244444444444443
0.387,47,0.8244444444444443
0.388,47,0.8244444444444443
0.389,47,0.8244444444444443
0.39,47,0.8244444444444443
0.391,47,0.8244444444444443
0.392,47,0.8244444444444443
0.393,47,0.8244444444444443
0.394,47,0.8244444444444443
0.395,47,0.8244444444444443
0.396,47,0.8244444444444443
0.397,47,0.8244444444444443
0.398,47,0.8244444444444443
0.399,47,0.8244444444444443
0.4,47,0.8244444444444443
0.401,47,0.8244444444444443
0.402,47,0.8244444444444443
0.403,47,0.8244444444444443
0.404,47,0.8244444444444443
0.405,47,0.8244444444444443
0.406,47,0.8244444444444443
0.40700000000000003,47,0.8244444444444443
0.40800000000000003,47,0.8244444444444443
0.40900000000000003,47,0.8244444444444443
0.41000000000000003,47,0.8244444444444443
0.41100000000000003,47,0.8244444444444443
0.41200000000000003,47,0.8244444444444443
0.41300000000000003,47,0.8244444444444443
0.41400000000000003,47,0.8244444444444443
0.41500000000000004,47,0.8244444444444443
0.41600000000000004,47,0.8244444444444443
0.41700000000000004,47,0.8244444444444443
0.41800000000000004,47,0.8244444444444443
0.419,47,0.8244444444444443
0.42,47,0.8244444444444443
0.421,47,0.8244444444444443
0.422,47,0.8244444444444443
0.423,47,0.8244444444444443
0.424,47,0.8244444444444443
0.425,47,0.8244444444444443
0.426,47,0.8244444444444443
0.427,47,0.8244444444444443
0.428,47,0.8244444444444443
0.429,47,0.8244444444444443
0.43,47,0.8244444444444443
0.431,47,0.8244444444444443
0.432,47,0.8244444444444443
0.433,47,0.8244444444444443
0.434,47,0.8244444444444443
0.435,47,0.8244444444444443
0.436,47,0.8244444444444443
0.437,47,0.8244444444444443
0.438,47,0.8244444444444443
0.439,47,0.8244444444444443
0.44,47,0.8244444444444443
0.441,47,0.8244444444444443
0.442,47,0.8244444444444443
0.443,47,0.8244444444444443
0.444,47,0.8244444444444443
0.445,47,0.8244444444444443
0.446,47,0.8244444444444443
0.447,47,0.8244444444444443
0.448,47,0.8244444444444443
0.449,47,0.8244444444444443
0.45,47,0.8244444444444443
0.451,47,0.8244444444444443
0.452,47,0.8244444444444443
0.453,47,0.8244444444444443
0.454,47,0.8244444444444443
0.455,47,0.8244444444444443
0.456,47,0.8244444444444443
0.457,47,0.8244444444444443
0.458,47,0.8244444444444443
0.459,47,0.8244444444444443
0.46,47,0.8244444444444443
0.461,47,0.8244444444444443
0.462,47,0.8244444444444443
0.463,47,0.8244444444444443
0.464,47,0.8244444444444443
0.465,47,0.8244444444444443
0.466,47,0.8244444444444443
0.467,47,0.8244444444444443
0.468,47,0.8244444444444443
0.46900000000000003,47,0.8244444444444443
0.47000000000000003,47,0.8244444444444443
0.47100000000000003,47,0.8244444444444443
0.47200000000000003,47,0.8244444444444443
0.47300000000000003,47,0.8244444444444443
0.47400000000000003,47,0.8244444444444443
0.47500000000000003,47,0.8244444444444443
0.47600000000000003,47,0.8244444444444443
0.47700000000000004,47,0.8244444444444443
0.47800000000000004,47,0.8244444444444443
0.47900000000000004,47,0.8244444444444443
0.48000000000000004,47,0.8244444444444443
0.48100000000000004,47,0.8244444444444443
0.482,47,0.8244444444444443
0.483,47,0.8244444444444443
0.484,47,0.8244444444444443
0.485,47,0.8244444444444443
0.486,47,0.8244444444444443
0.487,47,0.8244444444444443
0.488,47,0.8244444444444443
0.489,47,0.8244444444444443
0.49,47,0.8244444444444443
0.491,47,0.8244444444444443
0.492,47,0.8244444444444443
0.493,47,0.8244444444444443
0.494,47,0.8244444444444443
0.495,47,0.8244444444444443
0.496,47,0.8244444444444443
0.497,47,0.8244444444444443
0.498,47,0.8244444444444443
0.499,47,0.8244444444444443
